,NAME,DP03_0004PE,state,place
621,"Sammamish city, Washington",67.1,53,61115
622,"Seattle city, Washington",70.9,53,63000
623,"South Hill CDP, Washington",67.3,53,65922
624,"Spokane city, Washington",60.4,53,67000
625,"Spokane Valley city, Washington",60.5,53,67167
626,"Tacoma city, Washington",60.2,53,70000
627,"Vancouver city, Washington",61.0,53,74060
628,"Yakima city, Washington",55.4,53,80010
629,"Kenosha city, Wisconsin",62.7,55,39225
630,"Madison city, Wisconsin",66.7,55,48000
631,"Milwaukee city, Wisconsin",61.8,55,53000
632,"San Juan zona urbana, Puerto Rico",47.9,72,76770
633,"Appleton city, Wisconsin",66.8,55,02375
634,"Eau Claire city, Wisconsin",68.4,55,22300
635,"Green Bay city, Wisconsin",60.9,55,31000
636,"Janesville city, Wisconsin",65.7,55,37825
637,"Oshkosh city, Wisconsin",63.3,55,60500
638,"Racine city, Wisconsin",60.1,55,66000
639,"Waukesha city, Wisconsin",68.5,55,84250
640,"Cheyenne city, Wyoming",61.9,56,13900
641,"Bayamón zona urbana, Puerto Rico",44.8,72,06593
642,"Caguas zona urbana, Puerto Rico",40.8,72,10334
643,"Carolina zona urbana, Puerto Rico",49.0,72,14290
644,"Guaynabo zona urbana, Puerto Rico",50.9,72,32522
645,"Ponce zona urbana, Puerto Rico",33.7,72,63820
